Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/1,24:00:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,0.6,-11.4,36,102460,9999,9999,270,0,0,0,999900,999900,999900,99990,360,2,9,9,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,1:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,0.1,-12.4,34,102570,9999,9999,254,0,0,0,999900,999900,999900,99990,45,2,6,6,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,2:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-1.1,-9.7,48,102570,9999,9999,244,0,0,0,999900,999900,999900,99990,45,1,2,2,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,3:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-2.8,-8.8,60,102570,9999,9999,250,0,0,0,999900,999900,999900,99990,0,0,7,7,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,4:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-3.5,-8,68,102570,9999,9999,239,0,0,0,999900,999900,999900,99990,0,0,3,3,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,5:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-4.2,-7,79,102570,9999,9999,241,0,0,0,999900,999900,999900,99990,0,0,5,5,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,6:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-4.9,-6.3,88,102570,9999,9999,236,0,0,0,999900,999900,999900,99990,0,0,3,3,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,7:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-5,-7.3,82,102570,9999,9999,232,0,0,0,999900,999900,999900,99990,112,1,2,2,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,8:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-5.3,-7.7,81,102570,9999,9999,228,0,0,0,999900,999900,999900,99990,0,0,1,1,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,9:00,?9?9?9?9E0?9?9?9*9*9?9*9*9?9?9?9?9?9*9*_*9*9,-3.9,-5.7,86,102570,9999,9999,246,61,0,61,999900,999900,999900,99990,90,1,6,6,999,999,9,'999999999,0,0,0,88,999,999,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
